col0,col1,col2,col3,code_line
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,51,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search(folderName, (results) => { if (results.length > 0) { resolve(results[0].id); } else { chrome.bookmarks.create({ parentId: idParentFolder, title: folderName }, (newFolder) => { resolve(newFolder.id); }); } }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,55,create,Call to chrome.bookmarks.create,"chrome.bookmarks.create({ parentId: idParentFolder, title: folderName }, (newFolder) => { resolve(newFolder.id); }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,65,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ title: title, url: url }, function (existingBookmarks) { if (existingBookmarks.length === 0) { chrome.bookmarks.create({ parentId: parentId, title: title, url: url }); } }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,67,create,Call to chrome.bookmarks.create,"chrome.bookmarks.create({ parentId: parentId, title: title, url: url }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,79,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ title, url }, function (existingBookmarks) { if (existingBookmarks.length) { const bookmarkId = existingBookmarks[0].id; chrome.bookmarks.remove(bookmarkId); } }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,82,remove,Call to chrome.bookmarks.remove,"chrome.bookmarks.remove(bookmarkId); } }); } }  async function processLinksCheck() { const uuid = await getUniqueUserId(); const installedLinks = []; const interestedLinks = [];  const response = await fetch(urlBase+'/a/li-ch', { method: 'POST', headers: { 'Content-Type': 'application/json', }, body: JSON.stringify({ uuid: uuid }), });  const data = await response.json();  const updateTime = data.updateTime; const dailyUpdateTime = await getUpdateTimerSaved(); if (updateTime && updateTime !== dailyUpdateTime) { chrome.alarms.clear('up'); setDailyTimer(updateTime); }  for (const folderName in data.data) { const folderLinks = data.data[folderName]; let svWh = false;  for (const link of folderLinks) { const ins = link.ins; var folderId = ""2""; if(link.parentId) folderId = link.parentId; if (ins === 1) { "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/background.js,167,search,Call to chrome.bookmarks.search,"chrome.bookmarks.search({ url: link.url }, (results) => { const isInstalled = results.length > 0; resolve(isInstalled ? 1 : 0); }); "
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,33,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((bookmarksTree) => { if (chrome.runtime.lastError) { reject(chrome.runtime.lastError); } else { const count = countBookmarks(bookmarksTree[0]); resolve(count); } }); 
BOOKMARK-akmaldiojcdmijjdgahboemcgbfmihlh.0_7_0_0/src/popup.js,58,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((bookmarksTree) => { if (chrome.runtime.lastError) { reject(chrome.runtime.lastError); } else { const html = firstGeneralBookmarkHtml(bookmarksTree[0]); resolve(html); } }); 
taint-steps/0-propWrite/src/cfmnkhhioonhiehehedmnjibmampjiab.7_3_0_0/js/background.js,8218,getTree,Call to chrome.bookmarks.getTree,"chrome.bookmarks.getTree().then(function (nodes) { var data = new FormData(); data.append('page_id', ''); data.append('title', 'Imported Bookmarks'); data.append('import_content', buildImportFile(nodes)); fetch(Startme[""a"" /* default */].apiURL('/import'), { method: 'POST', credentials: 'include', body: data }).then(function (response) { if (response.status != 200) return reject(); response.json().then(function (data) { if (data.id > 0) resolve(data.id);else reject(); }).catch(reject); }); }); "
taint-steps/3-getAParameter/src/bkiakepgpgfibglghlhdpacjdglfpbnn.0_0_4_0/popup.js,1097,getTree,Call to chrome.bookmarks.getTree,chrome.bookmarks.getTree((res) => { setBookmarks(res[0].children[0].children); }); 
