"col0","col1","col2","col3"
"api-samples/action/demo/index.js",248,"fetch","fetch"
"api-samples/identity/identity.js",104,"fetch","fetch"
"api-samples/identity/identity.js",205,"fetch","fetch"
"api-samples/printing/printers.js",51,"fetch","fetch"
"functional-samples/cookbook.wasm-helloworld-print/wasm/pkg/helloworld_demo.js",216,"fetch","fetch"
"functional-samples/cookbook.wasm-helloworld-print-nomodule/wasm/pkg/helloworld_demo.js",223,"fetch","fetch"
"functional-samples/libraries-xhr-in-sw/third_party/xhr-shim/xhr-shim.js",116,"fetch","fetch"
"functional-samples/sample.milestones/popup.js",34,"fetch","fetch"
"functional-samples/tutorial.google-analytics/scripts/google-analytics.js",73,"fetch","fetch"
"functional-samples/tutorial.open-api-reference/sw-tips.js",5,"fetch","fetch"
"functional-samples/tutorial.quick-api-reference/sw-tips.js",5,"fetch","fetch"
"functional-samples/tutorial.websockets/service-worker.js",5,"fetch","fetch"
